trial,value,n_neighbors,spread,min_dist,metric
12,0.6813725490196079,8,1.7687557059260566,0.40667366914112113,cosine
16,0.6755174291938998,6,1.2805139515993607,0.4801714972780426,cosine
13,0.6669389978213508,8,1.8376318478487383,0.41090612514192815,cosine
14,0.6576797385620917,8,2.46819068554034,0.38782344867218915,cosine
15,0.6571350762527234,7,1.9597345298679325,0.22735486525013768,cosine
6,0.6529139433551199,11,1.6616287910825744,0.6125197846534961,cosine
0,0.639025054466231,11,1.4841822418278752,0.003334277856969442,cosine
17,0.6382080610021788,6,1.1934135884351926,0.5144246826786634,cosine
2,0.6289488017429196,10,1.0519136563578089,0.9882514452208453,cosine
10,0.6000816993464053,15,1.5477982073143242,0.41517981592403774,cosine
19,0.5939542483660132,14,1.2996650590694556,0.3008886570244763,cosine
7,0.5880991285403051,17,2.319994079255835,0.07919063915398768,cosine
11,0.547794117647059,12,1.5449935036238935,0.7328007395482694,cosine
5,0.5133442265795207,4,1.980320415898766,0.8509906917366378,cosine
4,0.5102124183006536,4,2.2044121260291463,0.30236348501271115,euclidean
1,0.5044934640522876,5,1.1423048171718029,0.5741617104078682,euclidean
9,0.4323257080610022,9,1.0649133230847883,0.10793968895771862,euclidean
3,0.3368736383442266,3,0.5799232045541038,0.170638606318802,euclidean
18,0.25190631808278874,2,0.7236157256377979,0.48465394601032724,cosine
8,0.18777233115468409,12,1.8770940013451478,0.6234133191888509,euclidean
